Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?,Reading Speed
70,Male,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",97,Yes,No,No,Purchased the book,Yes,Yes,353
70,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,339
69,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",97,Yes,No,No,Purchased the book,Yes,Yes,314
69,Female,White,Widowed,"Some college, no 4-year degree",Retired,"Less than $10,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,318
69,Female,White,Don’t know,Post-graduate training/professional school after college,Retired,Refused,97,Yes,No,No,Borrowed the book from a library,Yes,No,332
68,Female,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,265
68,Female,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,247
67,Male,White,Married,"Some college, no 4-year degree",Retired,Refused,97,Yes,No,No,Borrowed the book from a library,Yes,Yes,327
67,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,Yes,324
67,Female,White,Married,High school incomplete,Retired,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,198
66,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,324
66,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,Yes,No,338
66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Don’t know,Purchased the book,No,No,321
66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No,311
65,Female,White,Married,Post-graduate training/professional school after college,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,No,No,341
65,Male,White,Married,Post-graduate training/professional school after college,Retired,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,Yes,332
65,Female,White,Divorced,College graduate,Retired,"$10,000 to under $20,000",97,Yes,No,No,Got the book some other way,Yes,Yes,318
65,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,303
65,Female,White,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,313
65,Female,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",97,Yes,Yes,No,Purchased the book,Yes,Yes,332
65,Female,White,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,316
64,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,337
64,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,345
64,Female,White,Widowed,High school graduate,Retired,Refused,97,Yes,Yes,Yes,Purchased the book,Yes,Yes,261
64,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,317
63,Female,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,337
63,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,Yes,Yes,319
62,Female,White,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,307
60,Female,White,Widowed,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,No,Yes,318
60,Female,White,Single,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,316
60,Female,White,Never been married,College graduate,Employed part-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,319
60,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,312
60,Female,White,Never been married,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,No,Purchased the book,Yes,No,312
59,Female,White,Married,Post-graduate training/professional school after college,Retired,Refused,97,Yes,Yes,No,Purchased the book,Yes,Yes,335
59,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,333
59,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,311
58,Female,White,Married,High school graduate,Not employed for pay,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,No,No,268
58,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,320
58,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,317
58,Female,White,Married,Post-graduate training/professional school after college,Other,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,350
57,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,313
56,Female,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,No,Yes,268
55,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,No,Yes,316
55,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,Refused,97,Yes,No,Yes,Purchased the book,Yes,Yes,321
54,Female,White,Married,College graduate,Employed full-time,Refused,97,Yes,Don’t know,Yes,Borrowed the book from a library,Yes,Yes,314
53,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,No,No,259
53,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes,322
52,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",97,Yes,Yes,No,Purchased the book,Yes,Yes,303
52,Female,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Got the book some other way,No,No,313
50,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,340
50,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,313
50,Female,White,Married,High school incomplete,Not employed for pay,"Less than $10,000",97,Yes,No,No,Purchased the book,Yes,No,202
46,Female,White,Married,College graduate,Have own business/self-employed,"$30,000 to under $40,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,326
46,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,308
45,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,326
44,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes,313
42,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,332
41,Female,White,Married,College graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,Yes,No,Borrowed the book from a library,No,Yes,319
40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,336
38,Male,White,Married,College graduate,Not employed for pay,Refused,97,Yes,No,Yes,Got the book some other way,Yes,Yes,308
38,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,Yes,330
38,Female,White,Married,College graduate,Have own business/self-employed,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,325
37,Female,White,Married,College graduate,Employed part-time,"$40,000 to under $50,000",97,Yes,No,Yes,Purchased the book,No,No,324
36,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",97,Yes,No,Yes,Purchased the book,No,No,319
35,Male,White,Single,High school graduate,Not employed for pay,"$10,000 to under $20,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,253
35,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,303
34,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes,324
34,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,272
33,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,312
32,Female,White,Married,High school graduate,Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,No,262
32,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,376
32,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,No,No,374
30,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,No,Yes,319
29,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,No,378
28,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,324
28,Male,White,Married,High school incomplete,Employed full-time,"$40,000 to under $50,000",97,Yes,No,No,Purchased the book,Yes,Yes,198
27,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",97,Yes,No,No,Purchased the book,Yes,Yes,309
26,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",97,Yes,No,No,Purchased the book,No,No,356
25,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,No,Yes,372
24,Female,White,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,No,Yes,252
24,Female,White,Never been married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,No,350
23,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",97,Yes,Yes,No,Purchased the book,No,No,345
23,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,347
22,Male,White,Married,"Technical, trade or vocational school AFTER high school",Employed full-time,"$10,000 to under $20,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,255
22,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"$10,000 to under $20,000",97,Yes,Yes,Yes,Got the book some other way,Yes,Yes,372
21,Male,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,320
20,Female,White,Living with a partner,High school graduate,Employed part-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,263
19,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,No,316
18,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,No,316
18,Female,White,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,No,325
17,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,No,202
17,Female,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,No,194
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes,199
16,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,No,No,201
64,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",96,Yes,No,No,Purchased the book,Yes,Yes,336
40,Male,Black or African-American,Divorced,High school graduate,Retired,"Less than $10,000",96,Yes,No,No,Purchased the book,Yes,Yes,256
67,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",96,Yes,Yes,Yes,Purchased the book,Yes,Yes,330
66,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",96,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,346
65,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",96,Yes,No,No,Borrowed the book from a library,No,Yes,336
57,Female,White,Divorced,"Technical, trade or vocational school AFTER high school",Employed full-time,"$20,000 to under $30,000",96,Yes,No,No,Purchased the book,No,Yes,250
57,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",96,Yes,No,Yes,Purchased the book,No,No,267
56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes,316
53,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",96,Yes,No,No,Purchased the book,No,Yes,342
53,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,96,Yes,Yes,No,Purchased the book,Yes,Yes,315
52,Female,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"9$100,000 to under $150,000",96,Yes,Yes,No,Purchased the book,No,Yes,332
52,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",96,Yes,Yes,Yes,Purchased the book,Yes,Yes,331
48,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,No,Yes,Purchased the book,Yes,Yes,310
47,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",96,Yes,No,Yes,Purchased the book,Yes,Yes,324
28,Female,White,Single,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",96,Yes,Yes,Yes,Purchased the book,No,Yes,324
74,Male,White,Married,High school graduate,Retired,Refused,90,Yes,No,No,Borrowed the book from a library,Yes,No,257
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",90,Yes,Yes,No,Borrowed the book from a library,Yes,No,380
47,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",84,Yes,No,No,Purchased the book,Yes,Yes,311
53,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",80,Yes,Yes,Yes,Purchased the book,Yes,Yes,341
69,Female,White,Never been married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",80,Yes,Yes,No,Got the book some other way,No,Yes,334
65,Female,White,Married,High school graduate,Retired,Refused,80,Yes,No,No,Purchased the book,Yes,No,264
64,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,80,Yes,Yes,No,Purchased the book,No,Yes,315
54,Female,White,Living with a partner,"Some college, no 4-year degree",Disabled,"$30,000 to under $40,000",80,Yes,No,No,Got the book some other way,Yes,No,316
18,Male,White,Single,High school graduate,Employed full-time,"Less than $10,000",80,Yes,No,Yes,Purchased the book,No,No,302
65,Male,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",76,No,No,Yes,8,Yes,Yes,321
24,Male,Mixed race,Never been married,Post-graduate training/professional school after college,Not employed for pay,"$50,000 to under $75,000",75,Yes,No,Yes,Purchased the book,Yes,No,349
54,Female,Black or African-American,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,245
81,Female,White,Widowed,College graduate,Not employed for pay,"$75,000 to under $100,000",75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,296
78,Female,White,Widowed,High school graduate,Retired,"9$100,000 to under $150,000",75,Yes,No,No,Got the book some other way,Yes,No,239
73,Female,White,Married,College graduate,Employed part-time,"$30,000 to under $40,000",75,Yes,No,No,Purchased the book,Yes,Yes,291
68,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,297
65,Female,White,Divorced,High school graduate,Retired,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a library,Yes,No,240
62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",75,Yes,No,No,Purchased the book,Yes,Yes,305
61,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",75,Yes,Yes,No,Purchased the book,Yes,Yes,244
55,Female,White,Widowed,College graduate,Employed full-time,"$40,000 to under $50,000",75,Yes,No,No,Got the book some other way,Yes,No,297
48,Female,White,Married,College graduate,Not employed for pay,"9$100,000 to under $150,000",75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,302
48,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",75,Yes,No,Yes,Purchased the book,Yes,Yes,315
45,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,Refused,75,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,320
39,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",75,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,298
55,Male,Black or African-American,Separated,High school graduate,Retired,"$10,000 to under $20,000",70,Yes,No,No,Got the book some other way,No,Yes,241
84,Female,White,Married,"Technical, trade or vocational school AFTER high school",Retired,"9$100,000 to under $150,000",70,Yes,Yes,No,Got the book some other way,Yes,No,249
64,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",70,Yes,No,No,Purchased the book,Yes,Yes,247
60,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,70,Yes,Yes,Yes,Borrowed the book from a library,Yes,No,318
58,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$100,000 to under $150,000",70,Yes,Yes,Yes,Purchased the book,No,Yes,318
53,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",70,Yes,No,Yes,Got the book some other way,No,No,241
31,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",70,Yes,No,Yes,Purchased the book,No,Yes,370
22,Female,White,Married,High school graduate,Employed part-time,"Less than $10,000",70,Yes,No,No,Purchased the book,No,No,237
21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",70,Yes,No,No,Borrowed the book from a friend or family member,No,No,292
16,Female,White,Single,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",70,Yes,No,No,Borrowed the book from a library,Yes,Yes,201
61,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",67,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,325
40,Male,White,Married,High school graduate,Not employed for pay,"Less than $10,000",65,Yes,No,No,Purchased the book,No,Yes,242
27,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",65,No,No,Yes,Purchased the book,Yes,Yes,369
35,Male,Native American/American Indian,Never been married,High school graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,No,No,Purchased the book,Yes,Yes,243
50,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",60,Yes,No,Yes,Purchased the book,No,Yes,285
45,Female,Black or African-American,Married,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,Yes,Yes,Got the book some other way,No,Yes,293
16,Male,Black or African-American,Never been married,High school incomplete,Employed full-time,"Less than $10,000",60,Yes,Yes,No,Purchased the book,Yes,Yes,201
66,Female,White,Married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",60,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,323
66,Female,White,Divorced,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,No,No,Purchased the book,Yes,Don’t know,296
65,Female,White,Married,College graduate,Retired,"$50,000 to under $75,000",60,Yes,Yes,No,Purchased the book,Yes,Yes,297
62,Female,White,Widowed,College graduate,Retired,"$40,000 to under $50,000",60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,302
61,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",60,Yes,No,Yes,Purchased the book,No,Yes,317
60,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,Yes,No,Purchased the book,Yes,No,299
60,Female,White,Married,College graduate,Retired,Refused,60,Yes,Yes,Yes,Purchased the book,Yes,Yes,308
58,Female,White,Widowed,High school graduate,Employed full-time,"$30,000 to under $40,000",60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,242
53,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",60,Yes,Yes,Yes,Purchased the book,Yes,Yes,285
51,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",60,Yes,No,Yes,Purchased the book,Yes,Yes,315
39,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",60,Yes,No,No,Borrowed the book from a library,Yes,Yes,326
38,Male,White,Divorced,College graduate,Employed full-time,"$40,000 to under $50,000",60,Yes,No,No,Purchased the book,Yes,Yes,304
23,Female,White,Never been married,College graduate,Employed part-time,"9$100,000 to under $150,000",60,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,332
22,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",60,Yes,Yes,No,Purchased the book,Yes,Yes,326
21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",60,Yes,No,Yes,Purchased the book,No,No,308
34,Male,Refused,Married,"Some college, no 4-year degree",Employed full-time,Refused,55,Yes,Yes,Yes,Purchased the book,Yes,Yes,301
81,Male,White,Married,High school graduate,Retired,Refused,55,Don’t know,No,No,Got the book some other way,Yes,No,242
66,Female,White,Living with a partner,High school graduate,Retired,"$40,000 to under $50,000",55,Yes,No,Yes,Purchased the book,Yes,No,247
47,Female,White,Divorced,High school graduate,Employed part-time,"$20,000 to under $30,000",54,Yes,No,Yes,Borrowed the book from a library,No,No,242
